Дата,Сумма,Описание
15.05.2026,44210,Зарплата
10.05.2026,25025,Фриланс
28.05.2026,-1847,Пятёрочка
12.05.2026,-3200,Wildberries
11.05.2026,-540,Яндекс Такси
20.05.2026,-5000,Кредитный платёж
01.05.2026,-203,МТС
03.05.2026,-299,Яндекс Плюс
15.04.2026,43099,Зарплата
22.04.2026,-2340,ВкусВилл
12.04.2026,-4800,ЖКУ
20.04.2026,-5000,Кредитный платёж
05.04.2026,-399,Кинопоиск
10.04.2026,-780,Яндекс Такси
15.03.2026,44210,Зарплата
20.03.2026,-1560,Перекрёсток
20.03.2026,-5000,Кредитный платёж
01.03.2026,-203,Интернет
25.03.2026,-1200,Аптека
08.03.2026,-2890,СберМаркет
